PCON24CD,PCON22CD,weight
E14001395,E14000743,0.001
E14001395,E14000847,0.999
E14001396,E14000603,0.05
E14001396,E14000848,0.949
E14001397,E14000554,0.979
E14001397,E14001014,0.021
E14001398,E14000849,1.0
E14001399,E14000850,1.0
E14001400,E14000854,1.0
E14001401,E14000855,0.989
E14001401,E14000878,0.011
E14001402,E14000910,1.0
E14001403,E14000545,0.006
E14001403,E14000844,0.082
E14001403,E14000857,0.912
E14001404,E14000858,1.0
E14001405,E14000859,0.943
E14001405,E14000952,0.057
E14001406,E14000861,0.702
E14001406,E14000862,0.298
E14001407,E14000861,0.014
E14001407,E14000862,0.476
E14001407,E14000942,0.51
E14001408,E14000603,0.133
E14001408,E14000863,0.859
E14001408,E14000864,0.008
E14001409,E14000864,0.99
E14001409,E14000941,0.009
E14001410,E14000865,0.863
E14001410,E14000866,0.01
E14001410,E14000867,0.127
E14001411,E14000607,0.484
E14001411,E14000866,0.452
E14001411,E14000867,0.064
E14001412,E14000866,0.156
E14001412,E14000867,0.844
E14001413,E14000868,1.0
E14001414,E14000558,0.091
E14001414,E14000869,0.909
E14001415,E14000870,1.0
E14001416,E14000871,1.0
E14001417,E14000604,0.058
E14001417,E14000872,0.942
E14001418,E14000645,0.002
E14001418,E14000666,0.502
E14001418,E14000740,0.057
E14001418,E14001009,0.439
E14001419,E14000873,1.0
E14001420,E14000873,0.024
E14001420,E14000874,0.825
E14001420,E14001015,0.151
E14001421,E14000553,0.19
E14001421,E14000615,0.81
E14001422,E14000875,0.677
E14001422,E14000894,0.323
E14001423,E14000876,1.0
E14001424,E14000620,0.07
E14001424,E14000647,0.206
E14001424,E14000877,0.412
E14001424,E14001053,0.312
E14001425,E14000855,0.009
E14001425,E14000878,0.99
E14001426,E14000879,0.976
E14001426,E14000880,0.024
E14001427,E14000880,0.999
E14001428,E14000836,1.0
E14001429,E14000585,0.005
E14001429,E14000881,0.994
E14001430,E14000882,0.998
E14001431,E14000883,0.999
E14001432,E14000884,0.998
E14001433,E14000706,0.203
E14001433,E14000885,0.652
E14001433,E14001057,0.143
E14001434,E14000549,0.076
E14001434,E14000887,0.923
E14001435,E14000591,0.223
E14001435,E14000727,0.319
E14001435,E14001036,0.457
E14001436,E14000667,0.317
E14001436,E14000903,0.014
E14001436,E14001028,0.669
E14001437,E14000888,0.999
E14001438,E14000889,0.658
E14001438,E14000890,0.342
E14001439,E14000830,0.638
E14001439,E14000890,0.116
E14001439,E14001048,0.247
E14001440,E14000820,0.041
E14001440,E14000891,0.958
E14001441,E14000818,0.209
E14001441,E14000892,0.79
E14001442,E14000694,0.069
E14001442,E14000893,0.931
E14001443,E14000894,0.843
E14001443,E14001057,0.157
E14001444,E14000895,0.991
E14001444,E14000993,0.009
E14001445,E14000896,0.999
E14001446,E14000897,1.0
E14001447,E14000898,0.999
E14001448,E14000751,0.012
E14001448,E14000900,0.988
E14001449,E14000857,0.22
E14001449,E14000901,0.78
E14001450,E14000570,0.005
E14001450,E14000902,0.995
E14001451,E14000903,0.996
E14001451,E14000904,0.004
E14001452,E14000903,0.111
E14001452,E14000904,0.761
E14001452,E14001028,0.128
E14001453,E14000767,0.002
E14001453,E14000905,0.998
E14001454,E14000732,0.033
E14001454,E14000906,0.924
E14001454,E14001007,0.042
E14001455,E14000640,0.023
E14001455,E14000686,0.164
E14001455,E14000688,0.267
E14001455,E14000725,0.092
E14001455,E14001024,0.454
E14001456,E14000697,0.342
E14001456,E14000907,0.658
E14001457,E14000908,1.0
E14001458,E14000714,0.351
E14001458,E14000909,0.649
E14001459,E14000571,0.091
E14001459,E14000911,0.909
E14001460,E14000912,0.636
E14001460,E14000954,0.364
E14001461,E14000913,1.0
E14001462,E14000596,0.351
E14001462,E14000914,0.649
E14001463,E14000916,0.905
E14001463,E14000958,0.095
E14001464,E14000689,0.083
E14001464,E14000917,0.917
E14001465,E14000659,0.043
E14001465,E14000918,0.957
E14001466,E14000876,0.001
E14001466,E14000919,0.033
E14001466,E14000921,0.965
E14001467,E14000919,1.0
E14001468,E14000919,0.009
E14001468,E14000922,0.99
E14001468,E14000923,0.001
E14001469,E14000919,0.193
E14001469,E14000922,0.007
E14001469,E14000923,0.8
E14001470,E14000920,0.942
E14001470,E14000923,0.058
E14001471,E14000829,0.162
E14001471,E14000924,0.838
E14001472,E14000925,1.0
E14001473,E14000926,1.0
E14001474,E14000927,0.999
E14001475,E14000730,0.006
E14001475,E14000917,0.003
E14001475,E14000928,0.992
E14001476,E14000929,1.0
E14001477,E14000930,1.0
E14001478,E14000722,0.111
E14001478,E14001016,0.888
E14001479,E14000812,0.401
E14001479,E14000931,0.598
E14001480,E14000933,0.969
E14001480,E14000995,0.03
E14001481,E14000617,0.007
E14001481,E14000934,0.674
E14001481,E14000937,0.319
E14001482,E14000860,0.551
E14001482,E14000991,0.449
E14001483,E14000935,1.0
E14001484,E14000950,0.104
E14001484,E14001001,0.896
E14001485,E14000936,0.96
E14001485,E14001031,0.04
E14001486,E14000938,0.999
E14001487,E14000939,1.0
E14001488,E14000728,0.157
E14001488,E14000940,0.843
E14001489,E14000816,0.085
E14001489,E14000941,0.915
E14001490,E14000660,0.078
E14001490,E14000942,0.858
E14001490,E14001025,0.064
E14001491,E14000637,0.132
E14001491,E14000894,0.066
E14001491,E14000943,0.801
E14001492,E14000765,0.307
E14001492,E14000944,0.691
E14001493,E14000799,0.853
E14001493,E14000926,0.147
E14001494,E14000946,1.0
E14001495,E14000950,0.773
E14001495,E14001000,0.226
E14001496,E14000739,0.086
E14001496,E14000951,0.677
E14001496,E14000960,0.077
E14001496,E14001021,0.16
E14001497,E14000816,0.019
E14001497,E14000859,0.009
E14001497,E14000952,0.972
E14001498,E14000635,0.017
E14001498,E14000954,0.983
E14001499,E14000955,0.999
E14001500,E14000956,0.999
E14001501,E14000888,0.323
E14001501,E14000899,0.676
E14001502,E14000899,0.153
E14001502,E14000957,0.846
E14001503,E14000687,0.014
E14001503,E14000691,0.034
E14001503,E14000692,0.746
E14001503,E14000752,0.165
E14001503,E14001002,0.041
E14001504,E14000943,0.687
E14001504,E14000958,0.312
E14001505,E14000959,1.0
E14001506,E14000548,0.69
E14001506,E14000666,0.218
E14001506,E14000756,0.092
E14001507,E14000960,1.0
E14001508,E14000938,0.036
E14001508,E14000961,0.964
E14001509,E14000962,1.0
E14001510,E14000963,1.0
E14001511,E14000616,0.083
E14001511,E14000964,0.917
E14001512,E14000757,0.298
E14001512,E14000934,0.564
E14001512,E14000937,0.138
E14001513,E14000965,0.182
E14001513,E14000975,0.818
E14001514,E14000966,0.953
E14001514,E14000975,0.047
E14001515,E14000967,1.0
E14001516,E14000968,1.0
E14001517,E14000661,0.255
E14001517,E14000969,0.744
E14001518,E14000970,0.948
E14001518,E14000971,0.052
E14001519,E14000915,0.433
E14001519,E14000970,0.195
E14001519,E14000971,0.372
E14001520,E14000972,0.757
E14001520,E14000973,0.049
E14001520,E14000974,0.194
E14001521,E14000966,0.116
E14001521,E14000972,0.041
E14001521,E14000973,0.842
E14001522,E14000972,0.003
E14001522,E14000974,0.162
E14001522,E14000975,0.835
E14001523,E14000945,0.237
E14001523,E14000965,0.519
E14001523,E14000975,0.244
E14001524,E14000672,0.329
E14001524,E14000976,0.671
E14001525,E14000555,0.286
E14001525,E14000882,0.054
E14001525,E14001032,0.66
E14001526,E14000977,1.0
E14001527,E14000655,0.573
E14001527,E14000673,0.002
E14001527,E14000978,0.425
E14001528,E14000979,1.0
E14001529,E14000980,0.885
E14001529,E14000991,0.115
E14001530,E14000981,1.0
E14001531,E14000754,0.001
E14001531,E14000982,0.996
E14001532,E14000983,0.729
E14001532,E14001047,0.271
E14001533,E14000557,0.186
E14001533,E14001023,0.814
E14001534,E14000621,0.001
E14001534,E14000694,0.001
E14001534,E14000984,0.999
E14001535,E14000985,0.999
E14001536,E14000851,0.999
E14001537,E14000851,0.123
E14001537,E14000947,0.877
E14001538,E14000791,0.102
E14001538,E14000986,0.898
E14001539,E14000987,0.901
E14001539,E14001018,0.047
E14001539,E14001024,0.052
E14001540,E14000988,1.0
E14001541,E14000989,0.981
E14001541,E14000992,0.019
E14001542,E14000630,0.006
E14001542,E14000712,0.006
E14001542,E14000990,0.988
E14001543,E14000849,0.321
E14001543,E14000992,0.679
E14001544,E14000895,0.098
E14001544,E14000993,0.902
E14001545,E14000702,0.095
E14001545,E14000774,0.014
E14001545,E14000994,0.89
E14001546,E14000995,1.0
E14001547,E14001029,0.221
E14001547,E14001030,0.661
E14001547,E14001050,0.117
E14001548,E14000595,0.568
E14001548,E14000988,0.137
E14001548,E14000996,0.295
E14001549,E14000659,0.043
E14001549,E14000918,0.022
E14001549,E14000997,0.935
E14001550,E14000549,0.001
E14001550,E14000998,0.999
E14001551,E14000999,0.985
E14001551,E14001001,0.015
E14001552,E14000623,0.01
E14001552,E14001000,0.99
E14001553,E14000720,0.114
E14001553,E14000752,0.003
E14001553,E14001002,0.883
E14001554,E14000616,0.042
E14001554,E14000961,0.064
E14001554,E14001003,0.894
E14001555,E14001004,1.0
E14001556,E14001005,0.999
E14001557,E14000853,0.112
E14001557,E14001006,0.882
E14001558,E14000906,0.298
E14001558,E14001007,0.702
E14001559,E14000553,0.1
E14001559,E14000615,0.136
E14001559,E14001008,0.764
E14001560,E14000689,0.331
E14001560,E14000826,0.402
E14001560,E14001009,0.267
E14001561,E14001010,0.912
E14001561,E14001044,0.087
E14001562,E14001011,0.502
E14001562,E14001012,0.498
E14001563,E14001013,1.0
E14001564,E14001017,0.999
E14001564,E14001018,0.001
E14001565,E14001017,0.003
E14001565,E14001018,0.996
E14001566,E14000767,0.439
E14001566,E14001019,0.561
E14001567,E14000574,0.432
E14001567,E14001020,0.568
E14001568,E14000745,0.122
E14001568,E14001021,0.878
E14001569,E14000613,0.186
E14001569,E14000624,0.308
E14001569,E14000941,0.309
E14001569,E14000981,0.057
E14001569,E14001022,0.14
E14001570,E14000536,0.572
E14001570,E14000700,0.11
E14001570,E14000704,0.057
E14001570,E14000804,0.261
E14001571,E14000648,0.074
E14001571,E14001025,0.926
E14001572,E14000595,0.123
E14001572,E14000850,0.047
E14001572,E14001026,0.703
E14001572,E14001038,0.127
E14001573,E14001027,1.0
E14001574,E14000722,0.121
E14001574,E14001029,0.614
E14001574,E14001030,0.265
E14001575,E14000839,0.019
E14001575,E14000936,0.009
E14001575,E14001031,0.972
E14001576,E14000679,0.472
E14001576,E14001032,0.527
E14001577,E14001033,1.0
E14001578,E14000613,0.034
E14001578,E14000946,0.075
E14001578,E14001034,0.89
E14001579,E14001035,1.0
E14001580,E14000877,0.613
E14001580,E14001037,0.387
E14001581,E14001038,1.0
E14001582,E14000689,0.165
E14001582,E14000730,0.033
E14001582,E14000778,0.001
E14001582,E14000917,0.378
E14001582,E14000928,0.076
E14001582,E14000993,0.348
E14001583,E14000647,0.888
E14001583,E14001053,0.112
E14001584,E14000708,0.329
E14001584,E14000725,0.534
E14001584,E14000775,0.001
E14001584,E14000963,0.137
E14001585,E14001039,1.0
E14001586,E14000770,0.173
E14001586,E14001040,0.827
E14001587,E14000811,0.445
E14001587,E14001041,0.555
E14001588,E14000907,0.222
E14001588,E14000930,0.021
E14001588,E14001042,0.758
E14001589,E14001043,0.474
E14001589,E14001044,0.525
E14001590,E14000590,0.14
E14001590,E14001045,0.86
E14001591,E14000874,0.022
E14001591,E14001015,0.366
E14001591,E14001046,0.613
E14001592,E14001047,1.0
E14001593,E14000586,0.208
E14001593,E14000803,0.407
E14001593,E14001048,0.384
E14001594,E14001011,0.225
E14001594,E14001049,0.774
E14001595,E14001011,0.155
E14001595,E14001012,0.254
E14001595,E14001050,0.59
E14001596,E14001049,0.125
E14001596,E14001050,0.113
E14001596,E14001051,0.762
E14001597,E14001052,1.0
E14001598,E14000785,0.246
E14001598,E14000911,0.091
E14001598,E14001054,0.663
E14001599,E14000534,0.638
E14001599,E14001055,0.362
E14001600,E14000538,0.038
E14001600,E14001056,0.962
E14001601,E14001058,1.0
E14001602,E14001059,1.0
E14001603,E14000932,0.006
E14001603,E14001060,0.994
E14001604,E14001061,0.912
E14001604,E14001062,0.088
E14001605,E14001061,0.002
E14001605,E14001062,0.998
N05000001,N06000001,0.933
N05000001,N06000002,0.006
N05000001,N06000003,0.057
N05000001,N06000013,0.002
N05000001,N06000016,0.003
N05000002,N06000002,0.893
N05000002,N06000004,0.075
N05000002,N06000005,0.002
N05000002,N06000014,0.029
N05000003,N06000001,0.001
N05000003,N06000003,0.351
N05000003,N06000004,0.005
N05000003,N06000009,0.218
N05000003,N06000016,0.425
N05000004,N06000002,0.027
N05000004,N06000004,0.886
N05000004,N06000009,0.085
N05000004,N06000014,0.002
N05000005,N06000005,0.591
N05000005,N06000012,0.401
N05000005,N06000014,0.008
N05000006,N06000006,0.986
N05000006,N06000008,0.012
N05000006,N06000018,0.001
N05000007,N06000007,0.956
N05000007,N06000010,0.006
N05000007,N06000011,0.035
N05000007,N06000018,0.001
N05000008,N06000008,0.991
N05000009,N06000009,0.777
N05000009,N06000014,0.001
N05000009,N06000015,0.002
N05000009,N06000017,0.22
N05000010,N06000006,0.001
N05000010,N06000007,0.039
N05000010,N06000010,0.959
N05000010,N06000018,0.001
N05000011,N06000011,0.996
N05000011,N06000015,0.001
N05000012,N06000005,0.077
N05000012,N06000006,0.002
N05000012,N06000010,0.001
N05000012,N06000012,0.919
N05000013,N06000001,0.025
N05000013,N06000013,0.958
N05000013,N06000016,0.009
N05000014,N06000004,0.007
N05000014,N06000005,0.001
N05000014,N06000009,0.012
N05000014,N06000010,0.002
N05000014,N06000012,0.001
N05000014,N06000014,0.976
N05000015,N06000009,0.006
N05000015,N06000011,0.009
N05000015,N06000015,0.945
N05000015,N06000017,0.038
N05000016,N06000001,0.001
N05000016,N06000009,0.001
N05000016,N06000013,0.001
N05000016,N06000015,0.234
N05000016,N06000016,0.764
N05000017,N06000007,0.001
N05000017,N06000010,0.001
N05000017,N06000011,0.164
N05000017,N06000017,0.834
N05000018,N06000007,0.001
N05000018,N06000008,0.023
N05000018,N06000010,0.035
N05000018,N06000018,0.94
S14000021,S14000021,1.0
S14000027,S14000027,1.0
S14000045,S14000045,1.0
S14000048,S14000048,1.0
S14000051,S14000051,0.999
S14000060,S14000001,0.433
S14000060,S14000002,0.004
S14000060,S14000037,0.562
S14000061,S14000001,0.051
S14000061,S14000002,0.949
S14000062,S14000007,0.731
S14000062,S14000046,0.269
S14000063,S14000003,0.961
S14000063,S14000011,0.001
S14000063,S14000047,0.038
S14000064,S14000028,0.331
S14000064,S14000043,0.072
S14000064,S14000050,0.596
S14000065,S14000004,0.306
S14000065,S14000015,0.003
S14000065,S14000016,0.016
S14000065,S14000050,0.028
S14000065,S14000054,0.648
S14000066,S14000004,0.691
S14000066,S14000015,0.309
S14000067,S14000005,0.769
S14000067,S14000055,0.231
S14000068,S14000043,0.852
S14000068,S14000044,0.148
S14000069,S14000009,0.742
S14000069,S14000039,0.01
S14000069,S14000055,0.248
S14000070,S14000003,0.005
S14000070,S14000011,0.913
S14000070,S14000047,0.082
S14000071,S14000017,0.198
S14000071,S14000036,0.038
S14000071,S14000041,0.765
S14000072,S14000011,0.143
S14000072,S14000012,0.844
S14000072,S14000018,0.011
S14000072,S14000030,0.001
S14000073,S14000013,0.988
S14000073,S14000014,0.012
S14000074,S14000008,0.001
S14000074,S14000013,0.028
S14000074,S14000014,0.96
S14000074,S14000042,0.011
S14000075,S14000015,0.186
S14000075,S14000016,0.813
S14000076,S14000017,0.743
S14000076,S14000041,0.038
S14000076,S14000050,0.219
S14000077,S14000019,0.995
S14000077,S14000042,0.004
S14000077,S14000056,0.001
S14000078,S14000020,0.268
S14000078,S14000022,0.73
S14000079,S14000022,0.007
S14000079,S14000023,0.919
S14000079,S14000026,0.074
S14000080,S14000022,0.08
S14000080,S14000024,0.92
S14000081,S14000025,1.0
S14000082,S14000023,0.026
S14000082,S14000025,0.004
S14000082,S14000026,0.97
S14000083,S14000028,0.588
S14000083,S14000043,0.412
S14000084,S14000029,0.275
S14000084,S14000030,0.711
S14000084,S14000034,0.012
S14000084,S14000056,0.001
S14000085,S14000029,0.157
S14000085,S14000031,0.558
S14000085,S14000032,0.278
S14000085,S14000033,0.006
S14000086,S14000018,0.003
S14000086,S14000029,0.025
S14000086,S14000030,0.467
S14000086,S14000032,0.505
S14000087,S14000029,0.087
S14000087,S14000034,0.912
S14000087,S14000035,0.001
S14000088,S14000029,0.166
S14000088,S14000034,0.068
S14000088,S14000035,0.766
S14000089,S14000031,0.073
S14000089,S14000033,0.927
S14000090,S14000036,0.853
S14000090,S14000041,0.146
S14000090,S14000049,0.001
S14000091,S14000007,0.297
S14000091,S14000037,0.702
S14000092,S14000019,0.408
S14000092,S14000042,0.521
S14000092,S14000056,0.07
S14000093,S14000038,0.825
S14000093,S14000052,0.168
S14000093,S14000053,0.007
S14000094,S14000039,0.206
S14000094,S14000055,0.794
S14000095,S14000043,0.016
S14000095,S14000044,0.984
S14000096,S14000020,1.0
S14000097,S14000012,0.457
S14000097,S14000018,0.543
S14000098,S14000039,0.601
S14000098,S14000046,0.398
S14000099,S14000042,0.797
S14000099,S14000047,0.202
S14000100,S14000036,0.03
S14000100,S14000049,0.97
S14000101,S14000035,0.046
S14000101,S14000052,0.942
S14000101,S14000053,0.012
S14000102,S14000052,0.092
S14000102,S14000053,0.908
S14000103,S14000050,0.821
S14000103,S14000054,0.179
S14000104,S14000019,0.003
S14000104,S14000042,0.198
S14000104,S14000056,0.798
S14000105,S14000050,0.095
S14000105,S14000057,0.905
S14000106,S14000033,0.004
S14000106,S14000059,0.996
S14000107,S14000006,1.0
S14000108,S14000008,0.999
S14000108,S14000014,0.001
S14000109,S14000010,1.0
S14000110,S14000040,1.0
S14000111,S14000037,0.001
S14000111,S14000058,0.999
W07000081,W07000049,0.667
W07000081,W07000069,0.083
W07000081,W07000073,0.082
W07000081,W07000074,0.169
W07000082,W07000042,0.162
W07000082,W07000043,0.837
W07000083,W07000057,0.099
W07000083,W07000058,0.432
W07000083,W07000059,0.469
W07000084,W07000071,0.305
W07000084,W07000072,0.652
W07000084,W07000076,0.022
W07000084,W07000077,0.021
W07000085,W07000068,0.973
W07000085,W07000069,0.027
W07000086,W07000073,0.537
W07000086,W07000074,0.463
W07000087,W07000066,0.287
W07000087,W07000067,0.713
W07000088,W07000076,0.788
W07000088,W07000077,0.212
W07000089,W07000050,0.462
W07000089,W07000080,0.538
W07000090,W07000051,0.862
W07000090,W07000075,0.136
W07000090,W07000080,0.002
W07000091,W07000050,0.061
W07000091,W07000078,0.356
W07000091,W07000080,0.583
W07000092,W07000074,0.004
W07000092,W07000075,0.185
W07000092,W07000079,0.811
W07000093,W07000064,0.731
W07000093,W07000065,0.269
W07000094,W07000042,0.394
W07000094,W07000059,0.333
W07000094,W07000060,0.171
W07000094,W07000062,0.101
W07000095,W07000059,0.345
W07000095,W07000060,0.655
W07000096,W07000057,0.105
W07000096,W07000061,0.832
W07000096,W07000062,0.063
W07000097,W07000046,0.936
W07000097,W07000047,0.061
W07000097,W07000048,0.002
W07000098,W07000045,0.667
W07000098,W07000067,0.332
W07000099,W07000068,0.004
W07000099,W07000070,0.544
W07000099,W07000071,0.453
W07000100,W07000065,0.543
W07000100,W07000066,0.456
W07000101,W07000054,0.966
W07000101,W07000055,0.033
W07000102,W07000062,0.086
W07000102,W07000063,0.914
W07000103,W07000046,0.039
W07000103,W07000048,0.14
W07000103,W07000049,0.075
W07000103,W07000069,0.746
W07000104,W07000055,0.76
W07000104,W07000056,0.239
W07000105,W07000056,0.459
W07000105,W07000077,0.541
W07000106,W07000070,0.346
W07000106,W07000074,0.216
W07000106,W07000075,0.438
W07000107,W07000052,0.5
W07000107,W07000074,0.377
W07000107,W07000075,0.123
W07000108,W07000047,0.436
W07000108,W07000048,0.564
W07000109,W07000053,0.932
W07000109,W07000054,0.068
W07000110,W07000078,1.0
W07000111,W07000044,0.352
W07000111,W07000062,0.648
W07000112,W07000041,1.0
